state_name,town_name,median_download_speed,median_upload_speed,median_latency
California,Alpine,207.18,10.59,11
California,Altadena,237.03,52.58,8
California,Alum Rock,282.13,28.94,11
California,Anaheim,197.7,20.12,13
California,Anderson,157.31,11.14,32
California,Antelope,235.12,21.32,10
California,Antioch,244.24,23.52,14
California,Apple Valley,229.35,92.91,9
California,Aptos,172.45,21.77,14
California,Arcadia,219.58,21.72,14
California,Arcata,114.92,21.23,10
California,Arden-Arcade,221.25,71.38,7
California,Arroyo Grande,114.8,11.2,11
California,Artesia,197.38,90.05,7
California,Ashland,182.05,17.82,12
California,Atascadero,128.21,11.3,12
California,Atherton,207.43,23.94,13
California,Atwater,221.66,17.4,17
California,Auburn,57.43,10.52,16
California,Azusa,234.32,22.11,10
California,Bakersfield,224.03,20.75,15
California,Baldwin Park,246.57,55.53,8
California,Banning,239.14,22.48,15
California,Barstow,256.86,16.31,16
California,Baywood-Los Osos,195.92,11.1,12
California,Beaumont,247.26,105.14,9
California,Bell,330,31.99,12
California,Bell Gardens,258.37,21.93,12
California,Bellflower,272.69,23.62,10
California,Belmont,305.21,44.24,10
California,Belvedere Tiburon,233.76,21.38,16
California,Benicia,192.27,21.57,15
California,Berkeley,211.33,89.25,7
California,Bermuda Dunes,232.09,69.52,10
California,Beverly Hills,220.78,20.8,14
California,Big Bear Lake,213.33,11.14,15
California,Blackhawk,184.54,22.78,15
California,Blythe,181.15,19.86,16
California,Bonita,223.63,11.05,11
California,Bostonia,220.51,10.8,10
California,Brawley,224.57,11.48,18
California,Brea,187.88,19.81,14
California,Brentwood,263.44,41.8,11
California,Buena Park,231.31,21.3,12
California,Burbank,222.25,20.18,12
California,Burlingame,238.74,35.01,11
California,Calabasas,246.68,19.77,13
California,Calexico,177.98,11.36,20
California,Calimesa,271.3,23.1,14
California,Camarillo,219.26,39.77,11
California,Cameron Park,231.04,20.31,14
California,Campbell,214.03,21.1,13
California,Capitola,218.89,21.16,13
California,Carlsbad,201.13,18.48,17
California,Carmichael,215.86,23.79,9
California,Carson,222.45,19.88,13
California,Casa de Oro-Mount Helix,193.03,11.1,11
California,Castaic,127.78,11.86,15
California,Castro Valley,223.35,23.27,13
California,Cathedral City,256.99,19.06,19
California,Ceres,165.11,14.47,23
California,Cerritos,244.1,93.57,7
California,Chico,225.51,20.56,15
California,Chino,223.33,70.63,8
California,Chino Hills,231.72,35.88,10
California,Chula Vista,226.8,34.79,9
California,Citrus Heights,207.58,16.7,11
California,City of Industry,245.12,96.63,7
California,Claremont,219.88,22.54,14
California,Clovis,245.89,23.43,17
California,Coachella,260.45,17.14,19
California,Colma,241.39,23.29,13
California,Colton,211.76,19.37,16
California,Commerce,212.96,21.56,11
California,Compton,228.99,20.42,13
California,Concord,228.63,17.76,13
California,Corona,209.06,17.86,17
California,Coronado,165.88,19.64,17
California,Corte Madera,207.42,23.22,16
California,Costa Mesa,218.38,21.44,13
California,Coto de Caza,186.83,19.64,12
California,Covina,235.02,23.16,13
California,Cudahy,283.96,20.33,13
California,Culver City,258.84,23.03,10
California,Cupertino,235.78,23.14,11
California,Cypress,223.27,17.09,13
California,Daly City,239.07,23.2,12
California,Dana Point,207.37,11,12
California,Danville,223.27,21.89,15
California,Davis,178.26,13.7,14
California,Delano,216.92,12.87,15
California,Desert Hot Springs,256.75,13.5,19
California,Diamond Bar,203.75,20.7,13
California,Dixon,155.89,17.48,13
California,Downey,269.23,23.04,11
California,Duarte,263.98,34.33,9
California,Dublin,239.84,23.75,12
California,East Foothills,271.31,21.53,13
California,East Hemet,181.47,23.45,14
California,East Los Angeles,262.7,22.2,13
California,East Palo Alto,214.81,23.6,12
California,East Whittier,260.29,48.09,10
California,Eastvale,231.56,23.15,13
California,El Cajon,195.74,10.79,10
California,El Centro,199.11,11.5,19
California,El Cerrito,212.82,23.64,12
California,El Dorado Hills,216.19,22.12,14
California,El Monte,243.94,18.05,14
California,El Segundo,184.71,22.14,12
California,Elk Grove,221.68,22.78,11
California,Emeryville,186.4,30.33,9
California,Encinitas,175.67,19.46,16
California,Escondido,177.12,11.55,12
California,Eureka,126.02,21.16,11
California,Fair Oaks,180.69,18.52,12
California,Fairfield,235.86,23,15
California,Fallbrook,70.23,11.68,19
California,Florence-Graham,185.64,18.15,15
California,Florin,251.65,23.46,12
California,Folsom,219.66,20.52,11
California,Fontana,229.78,21.18,15
California,Foothill Farms,208.18,23.5,10
California,Foster City,237.44,23.64,13
California,Fountain Valley,194.32,16.38,13
California,Fremont,181.48,21.85,14
California,Fresno,225.11,22.46,16
California,Fullerton,223.95,21.43,13
California,Galt,98.77,14.94,15
California,Garden Grove,225.7,21.09,12
California,Gardena,257.25,19.58,12
California,Gilroy,212.08,18.89,16
California,Glendale,216.47,15.9,12
California,Glendora,232.48,22.51,13
California,Gold River,226.93,17.63,11
California,Goleta,175.99,10.7,17
California,Granite Bay,129.58,10.66,18
California,Hacienda Heights,204.87,22.68,13
California,Half Moon Bay,207.2,18.9,15
California,Hanford,274.7,20.45,19
California,Hawthorne,231.97,19.46,13
California,Hayward,143.48,18.43,13
California,Hemet,235.45,23.06,15
California,Hercules,216.29,22.71,14
California,Hermosa Beach,216.4,40.94,10
California,Hesperia,250.63,33.38,11
California,Highland,238.97,18.37,17
California,Hillsborough,222.46,26.91,13
California,Hollister,156.26,19.99,15
California,Huntington Beach,231.21,22.9,12
California,Huntington Park,235.69,21.91,11
California,Imperial Beach,177.49,20.55,11
California,Indio,245.71,23,17
California,Inglewood,224.51,19.5,13
California,Irvine,255.63,41.07,8
California,Irwindale,245.68,94.67,6
California,Jurupa Valley,212.58,20.4,13
California,Kentfield,245.2,23.62,16
California,La Cañada Flintridge,207.09,12.94,13
California,La Crescenta-Montrose,271.91,39.38,9
California,La Habra,238.36,18.07,14
California,La Mesa,201.65,16.56,10
California,La Mirada,254.92,22.65,12
California,La Palma,224.68,18.58,13
California,La Presa,188.72,20.24,10
California,La Puente,260.74,73.5,7
California,La Quinta,198.6,22.37,18
California,La Verne,226.27,86.96,8
California,Ladera Ranch,260.8,35.68,10
California,Lafayette,233.71,23.17,14
California,Laguna Beach,225.75,10.96,11
California,Laguna Hills,166.25,11.03,12
California,Laguna Niguel,172.9,10.72,12
California,Laguna Woods,75.48,15.31,14
California,Lake Arrowhead,247.76,11.18,15
California,Lake Elsinore,210.15,23.91,14
California,Lake Forest,196.57,22.2,10
California,Lake San Marcos,216.8,19.51,16
California,Lakeside,211.9,10.88,11
California,Lakewood,222.83,22.64,12
California,Lancaster,251.26,18.53,14
California,Larkspur,226.27,23.4,15
California,Lathrop,266.09,28.98,14
California,Lawndale,235.48,19.96,12
California,Lemon Grove,212.58,13.3,10
California,Lemoore,333.97,22.48,20
California,Lennox,258.93,17.11,13
California,Lincoln,138.55,20.94,14
California,Live Oak,236.56,18.68,13
California,Livermore,237.44,23,13
California,Lodi,220.34,17.57,14
California,Loma Linda,266.49,22.26,14
California,Lomita,284.37,20.31,14
California,Lompoc,242.35,19.69,24
California,Long Beach,210.33,36.74,9
California,Loomis,184.13,11.2,15
California,Los Alamitos,228.49,22.44,12
California,Los Altos,222.59,23.63,12
California,Los Altos Hills,165.3,19.27,13
California,Los Angeles,193.19,18.87,13
California,Los Banos,218.73,18.38,19
California,Los Gatos,202.53,17.84,14
California,Lucas Valley-Marinwood,148.26,22.2,16
California,Lynwood,250.57,15.67,13
California,Madera,198.44,19.39,18
California,Malibu,158.13,47.51,11
California,Mammoth Lakes,97.19,18,23
California,Manhattan Beach,215.12,51.54,9
California,Manteca,250.62,23.1,16
California,Marina,185.43,19.04,15
California,Marina del Rey,213.19,21.81,13
California,Martinez,209.96,20.07,14
California,McKinleyville,200.38,23.02,10
California,Menifee,245.58,60.8,12
California,Menlo Park,237.9,27.55,11
California,Merced,250.2,22.41,16
California,Mill Valley,219.39,23.99,15
California,Millbrae,224.08,26.24,12
California,Milpitas,191.17,22.91,12
California,Mission Viejo,192.85,12.11,11
California,Modesto,217.46,21.19,16
California,Monrovia,260.98,23.53,14
California,Montclair,247.98,23.72,10
California,Montebello,239.72,20.86,10
California,Montecito,211.96,10.86,19
California,Monterey,172.74,23.48,13
California,Monterey Park,209.26,16.12,10
California,Moorpark,206.74,18.83,15
California,Moraga,197.22,20.71,15
California,Moreno Valley,258.89,23.16,13
California,Morgan Hill,266.77,21.89,15
California,Mountain House,301.93,84.41,13
California,Mountain View,227.86,23.29,11
California,Murrieta,236.73,45.38,13
California,Napa,178.5,21.64,15
California,National City,248.78,22.18,9
California,Newark,164.09,20.9,13
California,Newport Beach,206.38,22.21,12
California,Nipomo,187.7,11.23,11
California,Norco,210.44,22.74,12
California,North Highlands,214.53,23.15,9
California,North Tustin,170.04,18.6,13
California,Norwalk,245.74,36.04,10
California,Novato,232.65,19.8,16
California,Oakdale,120.21,17.01,18
California,Oakland,224.47,59.62,9
California,Oakley,238.77,23.92,15
California,Oceanside,186.18,11.57,12
California,Oildale,228.29,17.55,14
California,Ojai,94.23,11.49,15
California,Ontario,230.75,40.32,10
California,Orange,208.71,19.84,14
California,Orangevale,216.2,17.44,12
California,Orcutt,237.55,17.96,23
California,Orinda,241.86,30.63,13
California,Oroville East,116,11.73,17
California,Oxnard,222.67,22.52,13
California,Pacific Grove,234.59,23.45,14
California,Pacifica,255.77,22.22,12
California,Palm Desert,226.03,19.48,17
California,Palm Springs,226.69,11.98,19
California,Palmdale,242.64,18.85,14
California,Palo Alto,205.24,22.68,12
California,Palos Verdes Estates,200.66,46.98,11
California,Paramount,219.87,19.81,13
California,Pasadena,186.14,17.41,12
California,Paso Robles,144.32,11.16,13
California,Perris,240.14,40.15,12
California,Petaluma,200.63,23.75,15
California,Phelan,286.51,184.8,6
California,Phoenix Lake-Cedar Ridge,115.51,11.91,15
California,Pico Rivera,259.49,21.99,12
California,Piedmont,228.73,41.54,10
California,Pinole,214.17,19.79,15
California,Pittsburg,243.94,23.51,14
California,Placentia,195.23,17,15
California,Placerville,33.06,10.89,28
California,Pleasant Hill,235.09,19.77,14
California,Pleasanton,221.54,22.26,13
California,Pomona,236.84,31.02,12
California,Port Hueneme,257.62,20.38,14
California,Porterville,212.3,11.83,17
California,Poway,194,10.92,12
California,Ramona,132.83,11.16,14
California,Rancho Cordova,227.48,21.4,11
California,Rancho Cucamonga,216.67,19.47,12
California,Rancho Mirage,244.35,13.94,18
California,Rancho Mission Viejo,293.35,117.86,7
California,Rancho Palos Verdes,222.35,23.53,12
California,Rancho San Diego,197.32,10.71,10
California,Rancho Santa Fe,158.59,112.58,7
California,Rancho Santa Margarita,177.68,11.36,11
California,Redding,189.08,11.25,32
California,Redlands,220.67,61.1,10
California,Redondo Beach,219.18,44.92,10
California,Redwood City,276.73,40.36,11
California,Reedley,174.35,15.28,18
California,Rialto,215.6,18.6,17
California,Richmond,208.79,22.57,13
California,Ridgecrest,235.6,39.24,25
California,Rio del Mar,192.95,17.51,14
California,Riverbank,185.74,14.56,22
California,Riverside,211.9,20.95,13
California,Rocklin,178.06,15.78,14
California,Rohnert Park,230.99,21.73,15
California,Rolling Hills,175.14,10.91,12
California,Rolling Hills Estates,200.73,34.55,10
California,Rosamond,214.63,11.05,15
California,Rosemead,202.29,16.58,11
California,Rosemont,223.38,23.52,12
California,Roseville,198.34,23.1,11
California,Rossmoor,163.21,104.88,7
California,Rowland Heights,207.86,14.63,13
California,Sacramento,178.16,23.16,11
California,Salinas,164.03,17.76,15
California,San Anselmo,240.01,23.69,15
California,San Bernardino,230.39,21.45,14
California,San Bruno,182.21,59.83,8
California,San Carlos,268.56,35.93,11
California,San Clemente,226.46,10.85,11
California,San Diego,199.18,20.32,15
California,San Dimas,239.04,23.3,13
California,San Fernando,294.78,32.06,11
California,San Francisco,191.29,32.18,11
California,San Gabriel,149.77,12.01,11
California,San Jacinto,259.89,40.48,12
California,San Jose,228.91,23.23,12
California,San Juan Capistrano,201.89,16,11
California,San Leandro,226.36,23.76,11
California,San Lorenzo,210.25,23.65,12
California,San Luis Obispo,174.8,11.33,11
California,San Marcos,192.36,20.01,12
California,San Marino,190.42,11.87,15
California,San Martin,106.32,17.95,16
California,San Mateo,244.56,31.36,11
California,San Pablo,224.34,20.64,13
California,San Rafael,167.86,22.61,16
California,San Ramon,233,23.72,13
California,Santa Ana,231.09,20.92,13
California,Santa Barbara,179.96,10.69,17
California,Santa Clara,218.85,22.5,11
California,Santa Clarita,232.02,19.9,13
California,Santa Cruz,192.26,23.05,13
California,Santa Fe Springs,206.26,38.27,10
California,Santa Maria,200.52,20.92,23
California,Santa Monica,201.5,22.19,13
California,Santa Paula,187.06,15.16,15
California,Santa Rosa,205.27,22.99,15
California,Santee,203.64,11.68,10
California,Saratoga,198.85,20.26,13
California,Scotts Valley,204.02,17.67,14
California,Seal Beach,218.29,22.43,11
California,Seaside,218.19,19.97,14
California,Sierra Madre,259.59,21.63,13
California,Signal Hill,227.67,21.37,11
California,Simi Valley,224.62,16.97,14
California,Solana Beach,219.91,38.37,9
California,Sonoma,126.65,17.77,17
California,South Gate,285.3,28.13,11
California,South Lake Tahoe,183.12,11.24,11
California,South Pasadena,186.49,11.73,16
California,South San Francisco,217.09,23.72,12
California,South Whittier,275.18,107.61,7
California,Spring Valley,220.34,14.08,10
California,Stanford,192.04,20.87,12
California,Stanton,240.8,12.08,13
California,Stevenson Ranch,225.38,16.61,15
California,Stockton,200.65,20.18,15
California,Suisun City,205.68,21.71,15
California,Sunnyvale,230.58,21.88,11
California,Tamalpais-Homestead Valley,235.46,35.34,15
California,Tehachapi,265.48,27.88,13
California,Temecula,218.94,40.38,13
California,Temple City,213.39,11.75,11
California,Thousand Oaks,206.37,25.1,12
California,Torrance,210.29,21.55,12
California,Tracy,230.04,21.02,19
California,Truckee,126.34,21.17,21
California,Tulare,227.01,23.03,18
California,Turlock,198.72,16.48,22
California,Tustin,204.97,19.33,13
California,Twentynine Palms,252.49,11.6,19
California,Twin Lakes,146.72,19.51,12
California,Ukiah,117.49,11.74,18
California,Union City,195.38,21.39,13
California,Upland,240.3,22.68,12
California,Vacaville,227.79,22.47,15
California,Valinda,272.11,38.29,10
California,Vallejo,215.38,22.15,15
California,Valley Center,48.88,14.57,26
California,Ventura,215.77,16.11,14
California,Victorville,245.37,22.37,12
California,View Park-Windsor Hills,213.14,21.95,12
California,Villa Park,211.99,15.7,15
California,Vineyard,229.33,17.51,12
California,Visalia,209.12,21.01,17
California,Vista,178.89,11.49,13
California,Walnut,221.58,71.13,7
California,Walnut Creek,228.55,17.7,14
California,Watsonville,162.01,19.61,16
California,West Carson,202.38,13.49,13
California,West Covina,229.54,21.96,11
California,West Hollywood,200.47,18.56,15
California,West Puente Valley,258.24,21.86,13
California,West Sacramento,155.6,16.76,14
California,West Whittier-Los Nietos,215.31,38.76,9
California,Westlake Village,199.22,23.61,13
California,Westminster,216.99,23.26,11
California,Whittier,219.64,39.12,10
California,Wildomar,183.79,38.01,13
California,Willowbrook,274.3,20.72,12
California,Windsor,152.25,16.81,17
California,Winter Gardens,217.42,13.19,11
California,Woodcrest,233.12,19.96,15
California,Woodland,137.3,12,14
California,Woodside,161.81,23.48,12
California,Yorba Linda,186.2,16.1,15
California,Yuba City,232.66,18.83,15
California,Yucaipa,247.18,22.94,14
California,Yucca Valley,205.01,11.54,19
Colorado,Arvada,211.5,17.33,12
Colorado,Aspen,170.9,17.06,18
Colorado,Aurora,238.34,22.11,11
Colorado,Avon,207.9,12.02,14
Colorado,Bailey,45.09,8.39,19
Colorado,Berkley,145.37,39.77,8
Colorado,Berthoud,162.59,17,14
Colorado,Black Forest,178.63,23.82,14
Colorado,Boulder,218.01,19.36,12
Colorado,Breckenridge,227.31,11.55,14
Colorado,Brighton,264.65,21.93,13
Colorado,Broomfield,224,22.23,12
Colorado,Castle Pines,259.04,23.17,12
Colorado,Castle Rock,264.68,23.09,12
Colorado,Cañon City,199.69,11.14,16
Colorado,Centennial,241.58,24.02,10
Colorado,Cherry Hills Village,195.57,19.53,12
Colorado,Cimarron Hills,242.75,21.28,14
Colorado,Colorado Springs,228.62,22.03,13
Colorado,Columbine,235.67,20.49,12
Colorado,Commerce City,251.74,22.43,13
Colorado,Denver,123.69,17.16,12
Colorado,Durango,98.19,11.04,66
Colorado,Edwards,232.33,17.2,14
Colorado,Englewood,219.19,21.33,11
Colorado,Erie,241.74,22.87,12
Colorado,Estes Park,233.14,120.84,4
Colorado,Evergreen,92.9,15.36,13
Colorado,Firestone,240.78,20.42,13
Colorado,Fort Carson,196.96,15.6,13
Colorado,Fort Collins,262.85,40.99,10
Colorado,Fort Morgan,102.09,18.9,15
Colorado,Fountain,240.24,17.29,15
Colorado,Frederick,221.06,23.93,13
Colorado,Fruitvale,272.61,11.4,16
Colorado,Golden,141.15,21.45,11
Colorado,Grand Junction,222.47,11.4,16
Colorado,Greeley,244.65,23,13
Colorado,Greenwood Village,210.45,23.58,12
Colorado,Highlands Ranch,246.41,21.76,12
Colorado,Johnstown,169.32,17.86,13
Colorado,Ken Caryl,211.44,16.33,12
Colorado,Lafayette,197.78,21.77,12
Colorado,Lakewood,188.47,20.12,11
Colorado,Littleton,225.35,17.64,11
Colorado,Lone Tree,246.12,24.56,12
Colorado,Longmont,248.97,164.19,4
Colorado,Louisville,217.72,17.94,12
Colorado,Loveland,256.52,39.12,9
Colorado,Montrose,143.99,122.49,4
Colorado,Monument,212.36,19.22,13
Colorado,North Washington,93.72,62.18,6
Colorado,Northglenn,241.64,18.98,12
Colorado,Parker,268.2,21.79,12
Colorado,Pueblo,237.69,16.65,16
Colorado,Pueblo West,46.79,12.48,22
Colorado,Security-Widefield,241.15,22.86,14
Colorado,Sherrelwood,253.21,19.91,11
Colorado,Steamboat Springs,157.39,11.21,18
Colorado,Sterling,184.75,17.7,14
Colorado,Stonegate,251.96,17.91,12
Colorado,Superior,215.13,17.96,13
Colorado,Thornton,250.74,21.53,12
Colorado,Westminster,209.78,20.6,12
Colorado,Wheat Ridge,192.46,26.36,11
Colorado,Windsor,218.44,20.76,14
Colorado,Woodland Park,100.43,14.3,17
Colorado,Woodmoor,242.78,17.9,13
Connecticut,Ansonia,270.4,33.51,14
Connecticut,Avon,215.52,22.96,16
Connecticut,Berlin,267.88,35.32,13
Connecticut,Bethel,247.95,23.56,20
Connecticut,Bloomfield,219.47,23.6,16
Connecticut,Branford,243.42,23.53,15
Connecticut,Bridgeport,232.8,36.49,11
Connecticut,Bristol,268.45,38.4,14
Connecticut,Brookfield,255.6,16.05,22
Connecticut,Burlington,271.66,23.49,16
Connecticut,Cheshire,264.33,37.28,11
Connecticut,Clinton,229.37,22.12,15
Connecticut,Colchester,257.94,23.76,17
Connecticut,Coventry,222.82,20.22,12
Connecticut,Cromwell,306.2,54.21,11
Connecticut,Danbury,236.59,22.97,21
Connecticut,Darien,222.72,61.13,9
Connecticut,East Hampton,317.2,94.5,11
Connecticut,East Hartford,254.02,23.67,16
Connecticut,East Haven,304.03,29.58,15
Connecticut,East Lyme,229.76,28.3,16
Connecticut,Easton,308.42,228.74,9
Connecticut,Ellington,239.35,23,19
Connecticut,Enfield,242.66,25.83,12
Connecticut,Fairfield,223.45,40.85,11
Connecticut,Farmington,238.02,23.96,15
Connecticut,Glastonbury,247.01,36.93,10
Connecticut,Granby,190.05,11.08,13
Connecticut,Greenwich,222.46,41.85,9
Connecticut,Griswold,115.08,29.35,17
Connecticut,Groton,197.03,21.66,18
Connecticut,Guilford,266.42,23.41,15
Connecticut,Hamden,266.79,40.1,14
Connecticut,Hartford,236.24,23.45,15
Connecticut,Killingly,146.16,26.71,16
Connecticut,Ledyard,237.11,23.23,20
Connecticut,Litchfield,200.78,32.28,13
Connecticut,Madison,264.02,23.27,16
Connecticut,Manchester,260.57,33.85,11
Connecticut,Mansfield,161.08,11.39,11
Connecticut,Meriden,250.73,31.05,11
Connecticut,Middletown,246.11,24,14
Connecticut,Milford,239.03,36.64,11
Connecticut,Monroe,258.81,19.5,21
Connecticut,Montville,186.05,27.37,15
Connecticut,Naugatuck,283.06,23.4,15
Connecticut,New Britain,254.75,29.04,15
Connecticut,New Canaan,218.82,36.03,11
Connecticut,New Hartford,212.75,11.86,12
Connecticut,New Haven,223.58,23.4,15
Connecticut,New London,203.33,23.13,16
Connecticut,New Milford,213.11,11.4,13
Connecticut,Newington,248.52,36.77,11
Connecticut,Newtown,229.1,18.44,22
Connecticut,North Haven,303.91,40.95,13
Connecticut,Norwalk,215.81,35.75,11
Connecticut,Norwich,203.74,23.06,17
Connecticut,Orange,227.22,36.14,12
Connecticut,Oxford,265.4,23.9,15
Connecticut,Plainfield,218,38.69,16
Connecticut,Plainville,289.2,128.42,10
Connecticut,Portland,325.97,147.36,10
Connecticut,Redding,214.64,34.63,13
Connecticut,Ridgefield,234.2,23.41,21
Connecticut,Rocky Hill,252.6,31.58,11
Connecticut,Seymour,250.66,23.65,15
